year,station,do,ph,co,bod,na,tc,wqi
2013,2688,7.2,7.6,126,3.4,1.89,64,83.7
2013,2689,7.1,7.8,112,3.2,0.63,88,83.7
2013,2199,6.8,7.7,9590,3.6,4.57,124,82.98
2013,2701,6.8,7.4,174,3.7,2.26,124,83.52
2013,2702,6.8,7.6,2572,3.3,4.22,118,82.98
2013,2703,6.7,7.8,6030,4.4,4.78,138,82.98
2013,2704,6.8,7.7,7207,3.9,4.25,120,82.98
2013,2706,6.8,8.1,167,3.8,1,85,83.52
2013,2707,6.8,8,173,3.5,1,98,83.52
2013,2708,7,8,168,3.6,1,83,83.52
2013,2709,6.9,7.9,131,3.5,0.75,96,83.7
2013,1094,7,7.6,125,3.5,0.6,63,83.7
2013,2162,7.2,7.5,132,3.3,0.9,88,83.7
2013,2712,7.2,7.7,119,3.3,1,68,83.7
2013,2164,6.9,7.5,159,2.8,1,82,88.2
2013,2713,6.7,7.7,141,3.3,3,90,83.7
2013,2714,7.3,7.7,132,2.9,2,88,88.38
2013,1342,6.4,7.3,76,1.7,0.62,788,82.76
2013,1443,6,7.1,85,1.7,0.53,538,82.76
2013,3465,6.3,7.1,69,1.3,0.57,593,82.94
2013,3466,6.5,7.3,76,1.6,0.55,545,82.76
2013,2297,6.7,6.6,60,1.2,0.34,435,78.66
2013,2319,7,6.6,3544,1.5,0.37,435,77.76
2013,2286,6.7,7.3,51,0.8,0.35,1567,82.94
2013,2331,6.9,7.7,107,0.7,0.46,443,88.38
2013,2332,6.7,7.9,173,0.9,0.56,426,88.2
2013,1154,5.6,6.9,126,1.2,0.67,990,73.84
2013,20,7.3,7.4,70,0.8,0.31,4208,82.94
2013,21,6.9,7.4,12754,0.8,0.29,2557,82.04
2013,3464,7.1,7.4,80,0.6,0.5,2831,82.76
2013,1572,7.2,6.9,62,1.3,0.11,150,85.26
2013,1573,3.4,6.7,2965,2.3,1.11,1236,58.58
2013,2295,6.1,7.2,15871,0.9,0.25,2975,82.04
2013,1564,6.4,7.2,120,1.9,0.77,618,82.76
2013,2287,6.2,7.2,7448,2,1.01,483,87.66
2013,1566,6.6,6.9,77,1.6,0.29,756,79.46
